Year,Course,Age,score,sleep,round_1_score,round_2_score,round_3_score,round_4_score,round_5_score,round_6_score,round_7_score,round_8_score,round_9_score,round_10_score,round_11_score,round_12_score,round_1_time,round_2_time,round_3_time,round_4_time,round_5_time,round_6_time,round_7_time,round_8_time,round_9_time,round_10_time,round_11_time,round_12_time,treatment,treatment1,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,shape,size,color,shape.lm,size.lm,color.lm,Sex,Sex.lm,Lenses,Lenses.lm,avg_score,avg_time,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,avg,log_avg
3rd,BS Statistics,21,13,6,2,5,6,7,8,9,10,8,12,13,7,11,5545,3559,6665,7032,12000,11888,33440,45968,49712,77480,81824,96176,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,Yes,1,9.008771929824562,47.054289473684214,0.3606853020739405,1.4048890137679124,0.900225056264066,0.9954493742889647,0.6666666666666666,0.7570659488559892,0.29904306220095694,0.1740341106856944,0.2413904087544255,0.16778523489932887,0.085549472037544,0.11437364831142904,0.4024526775374855,-0.9101777603710101
1st,BS Statistics,19,9,8,4,5,6,7,6,9,6,9,7,4,8,6,2284,2655,2223,2631,4433,8560,10608,11672,14320,24999,16353,20376,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,No,0,6.5964912280701755,12.566236842105264,1.7513134851138354,1.8832391713747645,2.699055330634278,2.66058532877233,1.3534852244529665,1.0514018691588785,0.5656108597285068,0.7710760795065114,0.4888268156424581,0.16000640025601023,0.48920687335657065,0.2944640753828033,0.9200016273791504,-0.08337984005023472
1st,BS Statistics,19,6,6,4,5,6,5,6,7,7,8,2,6,7,3,5100,2488,3985,4073,5168,12937,29752,16512,36264,19168,88008,72975,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,Yes,1,5.491228070175438,32.74806140350877,0.7843137254901961,2.009646302250804,1.5056461731493098,1.2275963663147558,1.1609907120743035,0.5410837133802272,0.23527830061844582,0.4844961240310077,0.05515111405250386,0.31302170283806346,0.07953822379783657,0.041109969167523124,0.5185415585970474,-0.6567351029390879
3rd,BS Statistics,21,9,6,4,5,6,7,8,9,5,9,4,5,2,6,8930,6144,5327,5552,9864,12312,49513,45600,47055,61014,58680,50328,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,Yes,1,5.7105263157894735,37.35085964912281,0.4479283314669653,0.8138020833333334,1.1263375258119017,1.260806916426513,0.8110300081103001,0.7309941520467836,0.10098358006988063,0.19736842105263158,0.08500690681117841,0.08194840528403317,0.03408316291751875,0.11921793037672866,0.368801040042943,-0.9974979672306188
4th,BS Statistics,23,15,5,4,5,6,7,6,6,10,11,12,11,12,15,5481,4145,4063,6480,3602,10288,29263,42288,39040,68791,76600,95727,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,Yes,1,9.903508771929825,42.65492105263158,0.7297938332421091,1.2062726176115801,1.4767413241447207,1.0802469135802468,1.665741254858412,0.583203732503888,0.3417284625636469,0.26012107453651157,0.3073770491803279,0.15990463868820048,0.1566579634464752,0.15669560312137643,0.5310265374217422,-0.6329432826768403
3rd,BS Statistics,23,14,4,4,5,6,7,8,9,8,9,12,8,14,7,2419,2671,2048,3823,4024,7399,31495,18296,43824,31432,59871,32704,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,No,0,8.763157894736842,25.792342105263156,1.6535758577924762,1.8719580681392738,2.9296875,1.8310227569971227,1.9880715705765408,1.2163805919718882,0.25400857278933164,0.49191080017490163,0.2738225629791895,0.2545176889793841,0.233836080907284,0.21404109589041095,0.8267666910224833,-0.19023273860617326
1st,BS Statistics,19,15,10,4,5,6,7,8,7,5,6,7,5,7,15,2526,2112,2888,3321,4529,7704,17151,13929,34969,23009,47480,45087,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,Yes,1,7.37719298245614,22.37987719298246,1.5835312747426762,2.367424242424242,2.0775623268698062,2.1077988557663354,1.7663943475380879,0.9086188992731049,0.291528190776048,0.43075597673917726,0.200177299894192,0.2173062714589943,0.14743049705139005,0.3326901324106727,0.7687282707097014,-0.26301772600437096
1st,BS Statistics,20,13,4.5,4,5,6,7,6,9,7,9,12,13,7,13,4082,4729,3256,5159,5088,13039,16888,31736,35376,40833,69344,119152,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,No,0,9.035087719298245,39.342894736842105,0.9799118079372856,1.0573059843518715,1.8427518427518428,1.3568521031207599,1.179245283018868,0.6902369813636015,0.4144954997631454,0.2835896143181245,0.33921302578018997,0.3183699458771092,0.1009460083064144,0.10910433731704042,0.5607926628528874,-0.5784040267052486
1st,BS Statistics,19,15,5.5,4,5,6,7,8,9,8,11,12,11,14,15,4898,5280,4400,10064,11424,10880,22769,34704,35015,50776,55743,82111,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Female,0,Yes,1,10.350877192982455,35.38527192982456,0.8166598611678236,0.946969696969697,1.3636363636363635,0.6955484896661367,0.7002801120448179,0.8272058823529411,0.35135491238086874,0.3169663439372983,0.3427102670284164,0.21663778162911612,0.2511526110901817,0.18267954354471386,0.47618037155796195,-0.7419585646827989
4th,BS Statistics,21,10,7,4,5,6,7,8,9,10,9,8,10,5,9,3313,2545,2999,3247,6337,13168,27329,32927,30185,55584,53985,70744,8,0,0,0,0,0,0,1,square,large,dynamic,0,1,1,Male,1,Yes,1,7.9035087719298245,33.09786842105263,1.2073649260488983,1.9646365422396856,2.0006668889629875,2.15583615645211,1.262427015938141,0.6834750911300121,0.36591166892312194,0.27333191605673157,0.2650323008116614,0.17990788716177317,0.09261831990367694,0.1272192694786837,0.6437551949258065,-0.4404367572490912
